,FID,SHAPE,date,end_,id,latitude,longitude,start,title,total_atte,type,service_area,num_vehicles,av_ratio,dist_to_highway
527,528,"{'x': -13038475.852584543, 'y': 3861824.698536065, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-01-11,19:30:00,50032,32.7474103,-117.1266214,15:00:00,north park thursday market,970,farmers,16069486.831794485,32584,0.029769211883132828,402.40919713342504
528,529,"{'x': -13051653.486550327, 'y': 3861258.547653381, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-01-10,20:00:00,50162,32.7431327,-117.2449981,16:00:00,ocean beach certified farmers market (wednesdays),1260,farmers,17576294.415293537,26559,0.047441545238902066,1508.4068125210351
529,530,"{'x': -13042312.189404054, 'y': 3857633.4358812296, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-01-10,14:00:00,49784,32.715738,-117.1610838,11:00:00,curbside bites food truck markets - downtown lunch,330,farmers,4516797.592125815,15931,0.020714330550499028,684.2661748022521
530,531,"{'x': -13052720.918015596, 'y': 3868787.072960929, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-01-09,19:00:00,50456,32.7999983,-117.254587,14:00:00,pacific beach tuesday farmers market,860,farmers,8995373.633749794,14633,0.0587712704161826,3384.51232589273
531,532,"{'x': -13041067.32580241, 'y': 3861974.5260695233, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-01-07,14:00:00,49902,32.7485423,-117.149901,09:00:00,2018 hillcrest farmers market (sundays),2400,farmers,7415300.031184129,15643,0.1534232564086173,534.8104904228812
532,533,"{'x': -13046076.791943701, 'y': 3862535.324132546, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-01-07,16:30:00,50227,32.7527792,-117.1949018,09:00:00,old town artisans market,1100,farmers,7582233.092709851,3894,0.2824858757062147,268.2901361474861
533,534,"{'x': -13047728.425647622, 'y': 3865710.9871919993, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-01-07,13:00:00,49833,32.776767932,-117.209738678,06:00:00,san diego resolution run,1100,athletic,5167817.5147000365,1226,0.8972267536704731,113.44495989927404
534,535,"{'x': -13035510.50172489, 'y': 3861870.083371472, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-01-06,13:00:00,50079,32.7477532,-117.0999832,09:00:00,city heights farmers market (every saturday),600,farmers,7070373.852642028,14797,0.04054875988376022,805.6311110202779
535,536,"{'x': -13046076.791943701, 'y': 3862535.324132546, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-01-06,16:30:00,50226,32.7527792,-117.1949018,09:00:00,old town artisans market,1100,farmers,6696390.261357092,3739,0.2941963091735758,268.2901361474861
536,537,"{'x': -13042366.27954463, 'y': 3858459.044077485, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-01-06,14:00:00,49977,32.7219778,-117.1615697,08:00:00,the mercato little italys farmers market,1900,farmers,14062039.298476113,20834,0.0911970816933858,70.36371758723122
537,538,"{'x': -13038475.852584543, 'y': 3861824.698536065, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-01-04,19:30:00,50031,32.7474103,-117.1266214,15:00:00,north park thursday market,970,farmers,16069486.831794485,32584,0.029769211883132828,402.40919713342504
538,539,"{'x': -13051653.486550327, 'y': 3861258.547653381, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-01-03,20:00:00,50161,32.7431327,-117.2449981,16:00:00,ocean beach certified farmers market (wednesdays),1260,farmers,17576294.415293537,26559,0.047441545238902066,1508.4068125210351
539,540,"{'x': -13042312.189404054, 'y': 3857633.4358812296, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-01-03,14:00:00,49783,32.715738,-117.1610838,11:00:00,curbside bites food truck markets - downtown lunch,330,farmers,4516797.592125815,15931,0.020714330550499028,684.2661748022521
540,541,"{'x': -13041065.299787676, 'y': 3861974.049583184, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-31,14:00:00,48856,32.7485387,-117.1498828,09:00:00,2017 hillcrest farmers market (sundays),2400,farmers,7426803.890344882,15577,0.15407331321820633,536.5619557145646
541,542,"{'x': -13046077.080261182, 'y': 3862535.407309844, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-31,16:30:00,49158,32.7527798284,-117.19490439,09:00:00,old town artisans market,1100,farmers,7576696.002125137,3894,0.2824858757062147,268.1369164999178
542,543,"{'x': -13041279.719939938, 'y': 3859740.3990523205, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-30,19:00:00,50225,32.7316611885,-117.151808969,14:00:00,holiday food truck festival,530,festival,2978102.8192633833,4181,0.1267639320736666,247.08060371706318
543,544,"{'x': -13035717.125505293, 'y': 3861900.3006758774, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-30,13:00:00,48774,32.7479815027,-117.101839333,09:00:00,city heights farmers market (every saturday),600,farmers,6943618.5271911435,14732,0.040727667662231876,631.7913566465563
544,545,"{'x': -13046077.080261182, 'y': 3862535.407309844, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-30,16:30:00,49157,32.7527798284,-117.19490439,09:00:00,old town artisans market,1100,farmers,6713104.661568643,3739,0.2941963091735758,268.1369164999178
545,546,"{'x': -13042761.423327971, 'y': 3858623.861433023, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-30,14:00:00,48995,32.723223408,-117.165119337,08:00:00,the mercato: little italys farmers market (sat.),1900,farmers,6118265.019780207,11317,0.16788901652381374,75.0313837749232
546,547,"{'x': -13041279.719939938, 'y': 3859740.3990523205, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-29,19:00:00,50224,32.7316611885,-117.151808969,14:00:00,holiday food truck festival,530,festival,3632135.988823038,5396,0.09822090437361009,247.08060371706318
547,548,"{'x': -13038910.994240157, 'y': 3861859.2056865613, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-28,19:30:00,48721,32.747671015,-117.130530344,15:00:00,north park thursday market,970,farmers,12774562.873029292,31473,0.030820067994789185,731.3271746915706
548,549,"{'x': -13041279.719939938, 'y': 3859740.3990523205, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-28,19:00:00,50223,32.7316611885,-117.151808969,14:00:00,holiday food truck festival,530,festival,4526196.181272032,7003,0.07568185063544196,247.08060371706318
549,550,"{'x': -13042510.516208852, 'y': 3856792.723943581, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-28,13:00:00,49620,32.7093836,-117.1628654,09:50:00,port of san diego holiday bowl parade,65000,parades,2616356.185511568,9757,6.661883775750743,1300.1989064217782
550,551,"{'x': -13052136.37936944, 'y': 3861611.779944611, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-27,20:00:00,48618,32.7458016,-117.249336,16:00:00,ocean beach certified farmers market (wednesdays),1260,farmers,14740217.129992394,20094,0.06270528515974919,1566.9671029093863
551,552,"{'x': -13041279.719939938, 'y': 3859740.3990523205, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-27,19:00:00,50222,32.7316611885,-117.151808969,14:00:00,holiday food truck festival,530,festival,4072293.6355314045,6586,0.08047373215912541,247.08060371706318
552,553,"{'x': -13041279.719939938, 'y': 3859740.3990523205, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-26,19:00:00,50221,32.7316611885,-117.151808969,14:00:00,holiday food truck festival,530,festival,4463450.002516368,7039,0.07529478619122035,247.08060371706318
553,554,"{'x': -13052584.864224503, 'y': 3868373.889554349, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-26,19:00:00,49059,32.7968783228,-117.253364808,14:00:00,pacific beach tuesday farmers market,860,farmers,7806613.857444158,17105,0.050277696579947385,3518.148485914488
554,555,"{'x': -13046077.080261182, 'y': 3862535.407309844, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-24,16:30:00,49156,32.7527798284,-117.19490439,09:00:00,old town artisans market,1100,farmers,7576696.002125137,3894,0.2824858757062147,268.1369164999178
555,556,"{'x': -13041065.299787676, 'y': 3861974.049583184, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-24,14:00:00,48855,32.7485387,-117.1498828,09:00:00,2017 hillcrest farmers market (sundays),2400,farmers,7426803.890344882,15577,0.15407331321820633,536.5619557145646
556,557,"{'x': -13052502.411102187, 'y': 3861878.487738315, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-23,16:00:00,49522,32.7478166981,-117.252624119,09:00:00,ocean beach town council craft fair,200,farmers,2360713.1407817355,6030,0.03316749585406302,1711.7610606430737
557,558,"{'x': -13046077.080261182, 'y': 3862535.407309844, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-23,16:30:00,49155,32.7527798284,-117.19490439,09:00:00,old town artisans market,1100,farmers,6713104.661568643,3739,0.2941963091735758,268.1369164999178
558,559,"{'x': -13035717.125505293, 'y': 3861900.3006758774, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-23,13:00:00,48773,32.7479815027,-117.101839333,09:00:00,city heights farmers market (every saturday),600,farmers,6943618.5271911435,14732,0.040727667662231876,631.7913566465563
